id,us_votes,non_us_votes,us_rating,non_us_rating
tt0066498/,"
385
","
1,723
",7.7,7.8
tt0081721/,"
38
","
171
",7.3,6.3
tt0090665/,"
173
","
693
",6.4,6.6
tt0091899/,"
15
","
87
",6.8,6.0
tt0092926/,"
36
","
109
",3.3,2.7
tt0094376/,"
21
","
129
",6.1,5.6
tt0094997/,"
366
","
682
",4.7,4.4
tt0095878/,"
373
","
272
",4.8,4.4
tt0096513/,"
37
","
112
",7.0,6.6
tt0096786/,"
630
","
562
",3.2,3.3
tt0096811/,"
32
","
114
",6.8,6.3
tt0096830/,"
17
","
230
",5.5,3.8
tt0096859/,"
17
","
200
",6.2,6.0
tt0096871/,"
417
","
878
",6.3,5.8
tt0096875/,"
926
","
1,811
",5.4,5.3
tt0096954/,"
120
","
238
",4.9,4.3
tt0096995/,"
30
","
78
",4.6,4.0
tt0097004/,"
411
","
306
",4.3,3.9
tt0097049/,"
24
","
328
",5.2,5.4
tt0097062/,"
53
","
405
",8.0,7.0
tt0097106/,"
531
","
2,454
",7.3,7.2
tt0097115/,"
252
","
358
",5.9,5.5
tt0097176/,"
454
","
216
",6.0,4.1
tt0097178/,"
110
","
163
",3.5,3.1
tt0097184/,"
60
","
70
",4.4,4.6
tt0097253/,"
73
","
881
",8.0,7.6
tt0097298/,"
68
","
57
",2.6,2.7
tt0097339/,"
30
","
82
",6.7,7.1
tt0097348/,"
24
","
185
",6.3,6.1
tt0097365/,"
424
","
806
",3.5,3.8
tt0097394/,"
19
","
119
",5.5,6.0
tt0097405/,"
9
","
78
",8.5,4.6
tt0097416/,"
145
","
947
",6.7,7.1
tt0097550/,"
139
","
704
",5.8,5.5
tt0097573/,"
950
","
457
",4.6,4.2
tt0097619/,"
39
","
137
",6.4,6.2
tt0097638/,"
19
","
107
",6.6,5.7
tt0097655/,"
91
","
80
",4.9,4.1
tt0097668/,"
66
","
83
",5.9,6.8
tt0097709/,"
5
","
94
",7.5,6.9
tt0097718/,"
96
","
182
",4.7,3.9
tt0097720/,"
53
","
64
",4.3,3.4
tt0097726/,"
58
","
41
",4.1,3.6
tt0097769/,"
296
","
834
",5.5,5.9
tt0097848/,"
10
","
116
",6.6,7.1
tt0097851/,"
110
","
375
",8.6,7.9
tt0097874/,"
320
","
346
",3.9,3.9
tt0097875/,"
18
","
208
",6.6,6.7
tt0097884/,"
362
","
1,871
",7.3,7.3
tt0097910/,"
746
","
2,959
",4.9,5.1
tt0097994/,"
170
","
273
",5.2,5.7
tt0098030/,"
21
","
143
",7.9,6.9
tt0098043/,"
100
","
153
",3.4,3.2
tt0098139/,"
53
","
156
",7.4,6.4
tt0098150/,"
85
","
290
",7.4,6.7
tt0098199/,"
190
","
94
",4.5,4.7
tt0098211/,"
106
","
120
",2.8,3.0
tt0098244/,"
25
","
132
",6.8,6.3
tt0098344/,"
211
","
251
",3.8,3.6
tt0098375/,"
620
","
1,291
",5.1,4.7
tt0098422/,"
16
","
77
",5.4,4.5
tt0098426/,"
6
","
134
",6.5,6.8
tt0098461/,"
32
","
241
",5.1,5.7
tt0098486/,"
358
","
1,325
",6.7,6.4
tt0098488/,"
75
","
122
",7.3,6.0
tt0098531/,"
14
","
113
",5.5,5.7
tt0098532/,"
1,223
","
5,864
",7.6,7.5
tt0098584/,"
34
","
128
",6.3,6.1
tt0098588/,"
24
","
129
",5.8,7.0
tt0098606/,"
273
","
1,753
",6.1,6.3
tt0098658/,"
132
","
510
",6.8,7.0
tt0098958/,"
12
","
134
",3.9,5.7
tt0098959/,"
49
","
56
",5.7,4.8
tt0098961/,"
85
","
603
",5.8,5.5
tt0098966/,"
5,613
","
10,533
",5.3,5.4
tt0098967/,"
806
","
3,876
",6.8,6.8
tt0098971/,"
36
","
88
",5.5,5.1
tt0098972/,"
51
","
122
",6.3,6.4
tt0098976/,"
58
","
381
",4.3,4.7
tt0098986/,"
24
","
135
",5.5,6.4
tt0098987/,"
4,613
","
7,674
",5.9,6.6
tt0098993/,"
66
","
159
",6.6,7.0
tt0098994/,"
1,260
","
1,282
",6.7,6.5
tt0098996/,"
130
","
110
",3.8,4.2
tt0098999/,"
604
","
3,928
",7.3,7.6
tt0099000/,"
37
","
99
",7.4,6.8
tt0099005/,"
5,914
","
13,421
",5.8,5.8
tt0099009/,"
37
","
100
",6.9,6.2
tt0099012/,"
3,338
","
6,765
",6.5,6.6
tt0099014/,"
231
","
404
",6.5,6.3
tt0099017/,"
67
","
41
",3.8,4.6
tt0099018/,"
1,343
","
1,704
",5.7,5.4
tt0099026/,"
702
","
1,823
",5.9,5.9
tt0099029/,"
9
","
190
",4.5,5.3
tt0099039/,"
170
","
317
",4.8,5.0
tt0099040/,"
1,729
","
3,431
",7.5,7.5
tt0099043/,"
257
","
1,336
",7.8,8.2
tt0099044/,"
8,844
","
18,433
",5.9,5.9
tt0099050/,"
27
","
75
",5.4,3.7
tt0099052/,"
17,353
","
28,271
",6.6,6.3
tt0099053/,"
415
","
668
",6.6,6.5
tt0099073/,"
2,609
","
1,656
",7.5,6.9
tt0099076/,"
19
","
95
",4.9,6.0
tt0099077/,"
23,336
","
63,264
",7.7,7.8
tt0099080/,"
113
","
517
",5.2,5.5
tt0099081/,"
29
","
171
",5.7,6.0
tt0099083/,"
10
","
112
",4.8,5.0
tt0099085/,"
51
","
128
",5.4,5.0
tt0099088/,"
66,087
","
179,326
",7.2,7.5
tt0099090/,"
84
","
95
",5.0,5.0
tt0099092/,"
79
","
92
",4.3,4.1
tt0099094/,"
9
","
64
",4.7,7.1
tt0099097/,"
38
","
231
",7.8,7.2
tt0099108/,"
1,264
","
2,145
",5.7,5.3
tt0099114/,"
33
","
96
",4.6,5.5
tt0099118/,"
5
","
130
",9.0,6.7
