id,us_votes,non_us_votes,us_rating,non_us_rating,title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0790770,"
1,782
","
4,587
",6.5,6.3,Miles Ahead,2015,"Biography, Drama, Music",100,USA,English,Don Cheadle,"Steven Baigelman, Don Cheadle",Sony Pictures Classics,"Don Cheadle, Ewan McGregor, Emayatzy Corinealdi, LaKeith Stanfield, Brian Bowman, Michael Stuhlbarg, Christina Marie Karis, Brent Vimtrup, Michael Bath, Reginald Willis, Montez Jenkins, Morgan Wolk, Austin Lyon, Nina Smilow, Chris Grays",6.4,9134,NA,$ 2610896,$ 3473958,64,61,145
tt0800325,"
6,263
","
16,131
",6.9,6.9,The Dirt,2019,"Biography, Comedy, Drama",107,USA,English,Jeff Tremaine,"Rich Wilkes, Amanda Adelson",10th Street Entertainment,"Machine Gun Kelly, Erin Ownbey, Douglas Booth, Aaron Jay Rome, Daniel Webber, Alyssa Marie Stilwell, Brittany Furlan, Iwan Rheon, Trace Masters, Matthew Underwood, Kathryn Morris, Vince Mattis, Mark Ashworth, Avis-Marie Barnes, Eleanor T. Threatt",7,37295,NA,NA,NA,39,553,72
tt0810819,"
14,282
","
75,723
",6.8,7,The Danish Girl,2015,"Biography, Drama, Romance",119,"UK, USA, Germany, Denmark, Belgium, Japan","English, French, German",Tom Hooper,"Lucinda Coxon, David Ebershoff",Working Title Films,"Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller, Amber Heard, Emerald Fennell, Henry Pettigrew, Claus Bue, Peter Krag, Angela Curran, Pixie, Richard Dixon, Ben Whishaw, Pip Torrens, Paul Bigley",7.1,159718,$ 15000000,$ 11114018,$ 64191523,66,294,347
tt0810836,"
101
","
274
",5,5.3,Dirt Music,2019,"Crime, Drama, Romance",105,"Australia, UK",English,Gregor Jordan,"Jack Thorne, Tim Winton",Wildgaze Films,"Kelly Macdonald, Garrett Hedlund, David Wenham, Aaron Pedersen, Dan Wyllie, Chris Haywood, George Mason, Ava Caryofyllis, Syd Brisbane, Jacob Clayton, Jessica Niven, Julia Stone, Fern Nicholson, Rikky Sharma, Kelly Belinda Hammond",5.2,204,NA,NA,NA,35,5,15
tt0837563,"
11,749
","
33,776
",5.7,5.6,Pet Sematary,2019,"Horror, Mystery, Thriller",101,"USA, Canada",English,"Kevin Kölsch, Dennis Widmyer","Stephen King, Matt Greenberg",Paramount Pictures,"Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence, Hugo Lavoie, Lucas Lavoie, Obssa Ahmed, Alyssa Brooke Levine, Maria Herrera, Frank Schorpion, Linda E. Smith, Sonia Maria Chirila, Naomi Frenette, Suzi Stingl, Kelly Lee",5.7,76819,$ 21000000,$ 54724696,$ 113118226,57,1169,326
tt0858419,"
205
","
114
",5.7,5.4,Bolden,2019,Drama,108,USA,English,Dan Pritzker,"Dan Pritzker, Dan Pritzker",King Bolden,"Gary Carr, Erik LaRay Harvey, Ian McShane, Michael Rooker, Yaya DaCosta, Reno Wilson, Robert Ri'chard, Karimah Westbrook, JoNell Kennedy, Kearia Schroeder, Serena Reeder, Krystal Farris, Christina Marie Karis, Terri Abney, Breon Pugh",5.6,417,NA,NA,NA,50,16,5
tt0859635,"
7,686
","
7,193
",6.2,5.8,Super Troopers 2,2018,"Comedy, Crime, Mystery",100,USA,English,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan",Votiv Films,"Seann William Scott, Clifton Collins Jr., Steve Lemme, Erik Stolhanske, Jay Chandrasekhar, Paul Soter, Damon Wayans Jr., Kevin Heffernan, Brian Cox, Marisa Coughlan, Bruce McCulloch, Lynda Carter, Rob Lowe, Hayes MacArthur, Tyler Labine",6,23256,$ 13500000,$ 30617396,$ 31626386,41,207,93
tt0862930,"
37
","
156
",5.9,6.6,Dukun,2018,"Horror, Thriller",108,Malaysia,"Hokkien, Malay",Dain Said,"Al Jafree Md Yusop, Huzir Sulaiman",Astro Shaw,"Umie Aida, Faizal Hussein, Elyana, Ramli Hassan, Namron, Bront Palarae, Kin Wah Chew, Hasnul Rahmat, Sofi Jikan, Avaa Vanja, Adlin Aman Ramlee, Adman Salleh",6.8,382,MYR 2800000.00,NA,NA,NA,11,13
tt0884732,"
9,684
","
31,155
",6.5,6.6,Un testimone in affitto,2015,Comedy,101,USA,"English, Ukrainian",Jeremy Garelick,"Jeremy Garelick, Jay Lavender",LStar Capital,"Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco, Jorge Garcia, Dan Gill, Corey Holcomb, Ken Howard, Colin Kane, Cloris Leachman, Jenifer Lewis, Alan Ritchson, Mimi Rogers, Aaron Takahashi, Olivia Thirlby",6.6,69920,$ 23000000,$ 64460211,$ 79799880,35,127,125
tt0910915,"
213
","
169
",5.2,4.8,Life in Flight,2008,"Comedy, Drama, Romance",78,USA,English,Tracey Hecht,Tracey Hecht,Plum Pictures,"Patrick Wilson, Amy Smart, David Ilku, Susie Stewart Rubio, Stephanie Szostak, Mark Setlock, Lynn Collins, Monique Gabriela Curnen, Frederick Weller, Zak Orth, Rashida Jones, Janet Zarish, Troy Britton Johnson, Kevin Rosseljong, Quincy Tyler Bernstine",5.2,355,$ 2000000,NA,NA,NA,15,2
tt0926132,"
209
","
300
",4.7,3.6,Road to Red,2020,"Action, Adventure, Horror",120,"USA, Portugal",English,Tito da Costa,"Larry Leahy, Tito da Costa",Worldwide Artists,"Sean Gray, Chris Blasman, Renee Dorian, Michael Buffo, Amanda Wing, Matt Lasky, Michael Saad, Buddy Daniels Friedman, Holt Boggs, Matthew Prater, Circus-Szalewski, Eric Gerleman, Ithaka Darin Pappas, Ron Baker, Charlie Chappell",4.2,472,$ 3000000,NA,NA,NA,8,1
