id,us_votes,non_us_votes,us_rating,non_us_rating
tt10195614,"
52
","
85
",2.7,2.7
tt10195976,"
15
","
73
",5.9,5.7
tt10196142,"
60
","
788
",4.4,4.6
tt10197650,"
9
","
178
",6.5,5.8
tt10198072,"
331
","
248
",5.2,4.0
tt10199590,"
1,539
","
11,375
",7.3,7.6
tt10199640,"
982
","
4,903
",6.9,7.1
tt10199664,"
57
","
633
",6.4,7.1
tt10199668,"
20
","
78
",5.4,5.5
tt10199670,"
95
","
539
",5.1,4.5
tt10203982,"
18
","
50
",6.3,5.4
tt10204366,"
58
","
747
",5.8,6.6
tt10204940,"
69
","
1,080
",7.1,7.2
tt10207954,"
42
","
154
",6.2,6.7
tt10208194,"
193
","
1,284
",6.7,6.7
tt10208198,"
680
","
5,113
",6.9,6.9
tt10210182,"
202
","
234
",6.5,6.4
tt10213380,"
100
","
533
",5.3,6.3
tt10214826,"
544
","
2,479
",8.1,8.1
tt10214842,"
18
","
419
",2.8,3.3
tt10217550,"
139
","
598
",7.5,7.1
tt9151230/,"
818
","
4,166
",7.1,7.2
tt10218664,"
167
","
796
",5.6,6.2
tt10218674,"
89
","
397
",5.2,5.6
tt10218838,"
18
","
75
",4.9,4.7
tt10218912,"
1,317
","
2,811
",7.3,7.5
tt10219146,"
63
","
472
",6.6,7.1
tt10219406,"
19
","
213
",5.9,6.1
tt10223546,"
54
","
349
",4.7,5.9
tt10223552,"
36
","
214
",4.9,6.7
tt10224624,"
32
","
248
",6.2,6.0
tt10225092,"
149
","
89
",6.9,4.8
tt10225288,"
10
","
117
",6.1,6.4
tt10228168,"
838
","
2,951
",7.0,6.7
tt10228180,"
15
","
94
",6.1,5.9
tt10228204,"
62
","
616
",5.1,6.3
tt10229602,"
14
","
55
",5.7,5.5
tt10229794,"
20
","
132
",5.8,5.7
tt10230404,"
343
","
1,692
",4.5,4.4
tt10230422,"
334
","
1,439
",5.8,5.7
tt10230426,"
1,043
","
3,836
",3.4,3.4
tt10230436,"
90
","
456
",7.6,7.5
tt10237612,"
38
","
187
",7.2,7.0
tt10238788,"
171
","
193
",2.9,2.6
tt10239930,"
267
","
570
",4.1,4.4
tt10243678,"
361
","
1,690
",6.5,6.4
tt10244008,"
732
","
628
",5.9,5.3
tt10244726,"
6
","
435
",6.2,7.0
tt10244754,"
38
","
438
",4.9,6.8
tt10244756,"
30
","
136
",6.2,6.6
tt10244760,"
31
","
219
",6.4,6.3
tt10248334,"
28
","
135
",7.5,6.9
tt10249780,"
34
","
486
",7.4,7.1
tt1025100/,"
11,586
","
41,450
",5.8,5.7
tt10251538,"
18
","
399
",5.0,5.3
tt10252330,"
17
","
305
",6.6,6.5
tt10253466,"
590
","
614
",5.5,5.4
tt10253816,"
99
","
362
",6.9,6.7
tt10254472,"
4
","
49
",5.8,6.7
tt10255320,"
129
","
93
",3.5,3.1
tt10255374,"
69
","
67
",4.6,4.1
tt10256570,"
158
","
811
",3.0,6.5
tt10260042,"
113
","
849
",6.7,7.2
tt10260294,"
22
","
200
",3.3,3.8
tt10260534,"
104
","
135
",4.8,4.2
tt10264340,"
793
","
2,677
",3.1,2.3
tt10264878,"
31
","
153
",4.3,5.6
tt10268550,"
72
","
190
",6.7,6.6
tt10270592,"
17
","
182
",4.6,5.4
tt10272386,"
8,314
","
41,583
",8.2,8.2
tt10272460,"
1
","
88
",7.0,7.1
tt10272534,"
176
","
1,496
",6.5,6.3
tt10273384,"
38
","
138
",2.2,2.9
tt10275080,"
50
","
101
",2.1,1.8
tt10275440,"
25
","
171
",5.9,6.0
tt10276470,"
982
","
3,611
",6.1,6.0
tt10276554,"
6
","
161
",3.5,7.8
tt10278930,"
3
","
144
",7.7,8.3
tt10279010,"
60
","
260
",5.6,5.8
tt10280220,"
18
","
114
",5.6,6.6
tt10287376,"
237
","
227
",5.9,5.9
tt10287616,"
13
","
110
",5.8,5.9
tt10289350,"
64
","
58
",5.4,4.1
tt10290062,"
6
","
56
",9.7,6.6
tt10291544,"
16
","
274
",3.3,5.0
tt10293308,"
86
","
166
",3.3,3.0
tt10294858,"
47
","
168
",7.4,7.5
tt10295602,"
83
","
340
",6.1,6.1
tt10295902,NA,"
88
",-,6.4
tt10298454,"
18
","
147
",6.2,6.4
tt10300174,"
42
","
489
",5.7,6.8
tt10300380,"
20
","
110
",3.8,3.1
tt10300662,"
23
","
56
",4.9,4.6
tt10300674,"
8
","
39
",5.5,5.2
tt10300704,"
11
","
57
",3.0,3.6
tt10300710,"
8
","
82
",6.6,6.0
tt10303324,"
980
","
3,084
",4.1,3.9
tt10303892,"
360
","
241
",4.9,4.4
tt10303954,"
4
","
138
",7.0,6.1
tt10305328,"
62
","
210
",2.6,1.9
tt10305616,"
70
","
293
",5.7,5.7
tt10307440,"
785
","
3,868
",5.4,6.0
tt10308634,"
42
","
242
",7.1,7.2
tt10308928,"
1,410
","
4,176
",4.7,4.4
tt10309574,"
103
","
59
",6.8,5.9
tt10309906,"
526
","
2,607
",5.7,5.6
tt10310222,"
31
","
657
",5.6,6.2
tt10314450,"
2,539
","
5,904
",6.1,5.7
tt10318332,"
46
","
245
",6.3,6.7
tt10319486,"
745
","
2,637
",5.9,3.9
tt10319676,"
34
","
86
",2.6,2.7
tt10320050,"
87
","
2,308
",6.5,7.0
tt10323178,"
69
","
85
",4.7,4.1
tt10323688,"
48
","
60
",4.7,4.1
tt10324144,"
1,588
","
8,016
",8.1,8.0
tt10325070,"
89
","
45
",5.5,4.7
tt10327712,"
147
","
437
",6.2,6.0
tt10327842,"
160
","
291
",3.3,2.9
tt10329084,"
11
","
48
",5.4,6.2
tt10329566,"
159
","
956
",3.9,5.9
tt10329838,"
20
","
116
",5.2,5.0
tt10329842,"
733
","
2,313
",5.6,4.5
tt10330046,"
7
","
222
",6.9,7.3
tt10331140,"
92
","
95
",3.8,3.0
tt10332672,"
53
","
579
",6.2,5.6
tt10332854,"
64
","
261
",3.3,3.2
tt10333606,"
19
","
103
",5.0,5.8
tt10333912,"
647
","
3,288
",6.2,6.2
tt10334602,"
72
","
385
",7.2,6.9
tt10334624,"
36
","
190
",4.6,4.4
tt10340366,"
4
","
83
",8.0,3.6
tt10340618,"
12
","
52
",7.8,5.3
tt10341248,"
117
","
287
",5.4,4.7
tt10348516,"
11
","
61
",5.3,5.4
tt10349240,"
17
","
172
",4.3,4.0
tt10350626,"
1,146
","
5,751
",5.2,5.6
tt10356526,"
7
","
34
",8.5,6.9
tt10358022,"
28
","
744
",6.0,5.8
tt10358198,"
375
","
560
",4.6,4.0
tt10360782,"
25
","
170
",4.9,4.7
tt10364402,"
70
","
53
",5.4,4.6
tt10366254,"
35
","
268
",3.7,5.5
tt10366806,"
5
","
165
",6.4,7.0
tt10366896,"
5
","
33
",8.9,7.6
tt10369210,"
9
","
39
",6.6,6.0
tt10370116,"
143
","
728
",8.3,8.2
tt10370380,"
296
","
1,281
",7.7,7.1
tt10370402,"
37
","
293
",6.8,5.7
tt10370932,"
117
","
603
",7.6,7.5
tt10375272,"
10
","
170
",3.0,4.2
tt10375682,"
16
","
606
",6.6,6.8
tt10375972,"
48
","
460
",6.6,6.4
tt10378798,"
87
","
214
",2.7,2.0
tt10378926,"
63
","
42
",5.9,4.8
tt10380066,"
60
","
147
",2.2,2.4
tt10380266,NA,"
5
",-,1.5
tt10381126,"
25
","
156
",5.3,4.9
tt10384108,"
9
","
167
",5.5,6.8
tt10384504,"
42
","
141
",8.1,8.4
tt10384514,"
54
","
198
",7.7,8.4
tt10384744,"
275
","
5,260
",7.1,7.2
tt10389922,"
37
","
263
",6.7,6.1
tt10389924,"
11
","
333
",3.9,4.8
tt10392792,"
23
","
72
",4.9,4.7
tt10394822,"
15
","
87
",8.2,7.3
tt10397854,"
22
","
178
",4.4,4.3
tt10397992,"
63
","
91
",4.8,4.3
tt10399760,"
4
","
89
",4.5,4.5
tt10403962,"
26
","
177
",6.7,6.5
tt10405902,"
18
","
64
",5.3,4.0
tt10407272,"
145
","
1,796
",6.6,6.6
tt10409498,"
177
","
2,604
",6.5,7.0
tt10409554,"
37
","
315
",6.6,6.5
tt10409590,"
23
","
394
",5.3,6.4
tt10409774,"
5
","
31
",4.5,4.1
tt10410520,"
15
","
22
",3.6,3.9
tt10413566,"
45
","
1,237
",2.9,5.7
tt10417642,"
32
","
101
",4.9,6.2
tt10419042,"
9
","
52
",5.9,6.5
tt10419266,"
31
","
109
",5.4,5.9
tt10419672,"
104
","
63
",2.9,2.7
tt10420532,"
54
","
1,077
",7.0,6.9
tt10423074,"
66
","
110
",3.5,3.8
tt10423148,"
10
","
42
",3.8,5.0
tt10423160,"
16
","
101
",4.9,5.1
tt10425640,"
42
","
460
",7.0,5.6
tt10426916,"
59
","
766
",5.3,6.3
tt10431010,"
87
","
436
",7.3,7.2
tt10431500,"
1,382
","
15,570
",7.8,8.1
tt10432682,"
19
","
57
",4.5,3.7
tt10437542,"
59
","
63
",2.8,2.8
tt10438454,"
31
","
111
",6.6,6.1
tt10438658,"
21
","
102
",5.4,5.5
tt10441486,"
71
","
382
",6.9,7.5
tt10441806,"
88
","
2,184
",5.4,5.5
tt10441958,"
60
","
849
",4.2,5.9
tt10442108,"
160
","
230
",7.9,8.1
tt10443252,"
78
","
14
",5.2,3.8
tt10443808,"
117
","
559
",7.1,6.7
tt10443844,"
39
","
240
",6.8,6.7
tt10443846,"
181
","
790
",7.8,7.6
tt10444252,"
22
","
61
",4.8,5.7
tt10444992,"
36
","
166
",4.7,5.8
tt10446658,"
14
","
159
",5.4,5.6
tt10446722,"
28
","
126
",6.2,5.9
tt10446930,"
10
","
334
",4.6,4.1
tt10449460,"
9
","
68
",6.1,7.1
tt10449466,"
8
","
244
",3.4,4.0
tt10451852,"
817
","
1,393
",7.2,6.6
tt10452036,"
15
","
76
",6.7,6.0
tt10452466,"
793
","
803
",6.9,7.0
tt10452480,"
117
","
509
",7.7,7.3
tt10452814,"
30
","
190
",6.7,6.4
tt10452854,"
191
","
183
",6.3,5.6
tt10456740,"
653
","
4,125
",6.0,6.2
tt10457128,"
403
","
3,430
",6.4,6.9
tt10461740,"
74
","
56
",5.4,4.7
tt10463030,"
239
","
1,194
",5.2,5.4
tt10468636,"
126
","
610
",7.0,6.6
tt10469118,"
62
","
323
",8.2,8.5
tt10472102,"
88
","
2,949
",6.1,5.6
tt10472884,"
200
","
675
",7.9,7.9
tt10477558,"
249
","
1,164
",7.5,7.3
tt10480532,"
45
","
358
",1.4,5.3
tt10481184,"
14
","
137
",2.9,5.4
tt10481868,"
3,126
","
4,550
",3.6,3.3
tt10482504,"
622
","
1,805
",6.8,6.5
tt10484902,"
11
","
169
",5.3,5.6
tt10486170,"
45
","
104
",2.0,2.6
tt10488396,"
35
","
197
",7.0,6.8
tt10488882,"
23
","
184
",3.4,3.5
tt10488912,"
20
","
202
",3.9,4.0
tt10489348,"
36
","
147
",6.9,6.3
tt10492998,"
99
","
976
",3.1,6.6
tt10495746,"
42
","
316
",8.0,7.8
tt10495912,"
25
","
266
",6.1,6.8
tt10495934,"
3
","
42
",8.0,7.3
tt10497516,"
25
","
176
",2.2,3.1
tt10497826,"
53
","
326
",6.4,5.9
tt10498810,"
71
","
167
",2.4,2.3
tt10503934,"
64
","
276
",7.6,6.9
tt10504752,"
26
","
154
",6.5,6.5
tt10504928,"
6
","
104
",3.2,3.6
tt10504966,"
6
","
236
",6.0,6.3
tt10506490,"
12
","
43
",6.7,7.2
tt10508182,"
10
","
44
",4.9,4.9
tt10508838,"
316
","
1,671
",6.3,6.0
tt10510416,"
68
","
124
",4.2,3.5
tt10510654,"
53
","
261
",5.9,6.3
tt10514468,"
4
","
124
",2.0,2.1
tt10514532,"
57
","
63
",3.1,2.8
tt10515086,"
711
","
1,867
",8.4,7.7
tt10515526,"
791
","
3,884
",7.6,7.3
tt10516086,"
48
","
752
",5.9,5.8
tt10516176,"
73
","
456
",6.6,6.0
tt10516484,"
17
","
215
",6.0,7.1
tt10518924,"
19
","
378
",7.2,6.9
tt10518934,"
11
","
136
",7.6,7.8
tt1051906/,"
24,096
","
71,420
",7.2,7.0
tt10519182,"
86
","
412
",4.0,4.2
tt10519662,"
4
","
112
",7.0,3.3
tt10521814,"
275
","
654
",6.3,6.1
tt10525236,"
68
","
70
",5.0,4.3
tt10529644,"
73
","
127
",3.5,3.5
tt10530286,"
30
","
543
",6.1,6.1
tt10530392,"
42
","
201
",5.1,5.3
tt10533078,"
15
","
204
",4.6,5.2
tt10533570,"
56
","
273
",5.7,5.6
tt10534962,"
2
","
66
",1.0,3.9
tt10535594,"
12
","
327
",7.5,7.1
tt10537978,"
12
","
317
",3.4,4.4
tt10540024,"
31
","
184
",6.4,6.7
tt10540242,"
268
","
779
",4.9,4.8
tt10545040,"
15
","
108
",5.2,5.7
tt10545470,"
43
","
487
",3.9,6.6
tt10545484,"
301
","
1,265
",7.7,8.0
tt10549312,"
44
","
1,404
",3.8,4.6
tt10550884,"
268
","
1,002
",6.3,6.1
tt10551118,"
262
","
281
",4.4,3.3
tt10551150,"
23
","
82
",5.5,4.9
tt10551160,"
23
","
164
",6.6,7.2
tt10551420,"
60
","
228
",6.7,6.7
tt10551450,"
9
","
66
",5.4,6.6
tt10551608,"
129
","
576
",7.7,7.7
tt10553210,"
203
","
811
",3.9,3.7
tt10555482,"
34
","
71
",7.6,7.4
tt10556036,"
103
","
469
",7.4,7.6
tt10556130,"
25
","
239
",4.1,3.7
tt10559412,"
47
","
51
",5.7,5.7
tt10563420,"
366
","
446
",5.9,5.4
tt10564446,"
26
","
126
",5.8,6.0
