id,us_votes,non_us_votes,us_rating,non_us_rating
tt0112435/,"
2,225
","
1,711
",5.8,5.5
tt0112438/,"
1,457
","
1,997
",4.4,4.2
tt0112439/,"
51
","
49
",4.4,5.0
tt0112440/,"
107
","
135
",3.1,3.2
tt0112442/,"
37,391
","
118,210
",6.8,6.8
tt0112443/,"
912
","
1,172
",5.6,5.3
tt0112444/,"
479
","
743
",5.3,5.5
tt0112445/,"
950
","
3,806
",7.6,7.7
tt0112446/,"
237
","
1,323
",6.3,6.2
tt0112451/,"
84
","
122
",5.1,4.6
tt0112453/,"
10,445
","
15,760
",6.9,7.1
tt0112459/,"
123
","
647
",5.1,5.3
tt0112460/,"
21
","
192
",5.0,7.0
tt0112461/,"
18,743
","
50,822
",7.2,7.3
tt0112462/,"
52,143
","
104,912
",5.5,5.4
tt0112466/,"
135
","
142
",3.4,3.2
tt0112471/,"
34,107
","
136,613
",8.1,8.1
tt0112473/,"
112
","
29
",6.2,5.7
tt0112480/,"
50
","
1,325
",5.9,5.8
tt0112483/,"
564
","
971
",4.8,4.8
tt0112491/,"
25
","
310
",6.0,7.1
tt0112494/,"
158
","
91
",4.5,4.6
tt0112495/,"
1,286
","
2,273
",6.6,6.6
tt0112499/,"
4,712
","
1,932
",5.6,5.2
tt0112503/,"
283
","
176
",2.9,3.4
tt0112504/,"
324
","
394
",4.3,4.7
tt0112508/,"
46,804
","
43,067
",6.7,6.0
tt0112509/,"
54
","
43
",4.5,5.5
tt0112513/,"
380
","
561
",7.6,7.1
tt0112515/,"
216
","
234
",6.0,5.7
tt0112519/,"
361
","
461
",5.4,4.2
tt0112525/,"
105
","
95
",3.9,3.1
tt0112527/,"
482
","
380
",6.1,5.8
tt0112537/,"
521
","
1,380
",4.9,5.3
tt0112541/,"
1,313
","
5,247
",6.3,6.8
tt0112546/,"
286
","
913
",6.8,6.4
tt0112547/,"
77
","
154
",5.1,4.9
tt0112553/,"
1,091
","
5,461
",7.8,8.1
tt0112556/,"
145
","
1,752
",6.7,7.0
tt0112557/,"
24
","
96
",6.6,5.9
tt0112562/,"
87
","
928
",6.6,6.7
tt0112564/,"
34
","
275
",5.4,6.0
tt0112568/,"
82
","
118
",4.9,5.0
tt0112571/,"
4,082
","
4,290
",6.4,6.4
tt0112572/,"
10,394
","
4,641
",6.2,5.8
tt0112573/,"
160,967
","
409,809
",8.4,8.3
tt0112574/,"
120
","
117
",5.3,5.3
tt0112575/,"
98
","
129
",6.7,6.3
tt0112579/,"
11,415
","
39,431
",7.2,7.7
tt0112580/,"
85
","
36
",3.1,3.7
tt0112586/,"
21
","
82
",6.0,6.6
tt0112588/,"
9
","
138
",2.1,5.7
tt0112593/,"
19
","
108
",5.8,6.2
tt0112602/,"
2,430
","
1,801
",5.5,5.5
tt0112604/,"
358
","
1,007
",6.2,6.4
tt0112606/,"
2,927
","
1,682
",6.2,6.0
tt0112607/,"
55
","
122
",6.9,6.8
tt0112608/,"
15
","
201
",5.5,4.7
tt0112609/,"
105
","
971
",6.8,7.1
tt0112611/,"
128
","
147
",5.7,5.6
tt0112612/,"
47
","
59
",4.0,4.3
tt0112613/,"
187
","
111
",3.9,3.6
tt0112618/,"
41
","
59
",3.3,3.8
tt0112619/,"
526
","
1,490
",7.2,7.4
tt0112621/,"
16
","
212
",4.4,6.3
tt0112625/,"
3,584
","
4,877
",5.4,5.1
tt0112626/,"
112
","
97
",4.6,4.9
tt0112628/,"
178
","
181
",4.5,4.6
tt0112634/,"
830
","
713
",3.9,3.5
tt0112637/,"
1,245
","
2,466
",6.8,6.9
tt0112640/,"
14
","
102
",7.0,5.5
tt0112641/,"
85,828
","
208,504
",8.2,8.1
tt0112642/,"
26,545
","
53,593
",6.2,6.0
tt0112649/,"
132
","
200
",3.8,3.0
tt0112654/,"
264
","
785
",6.4,6.2
tt0112656/,"
105
","
206
",6.7,5.8
tt0112659/,"
14
","
78
",5.1,7.2
tt0112660/,"
36
","
122
",4.4,5.0
tt0112665/,"
25
","
131
",5.7,6.9
tt0112672/,"
45
","
165
",5.7,5.5
