id,us_votes,non_us_votes,us_rating,non_us_rating
tt0064730/,"
33
","
129
",6.9,6.9
tt0113026/,"
648
","
274
",5.6,5.4
tt0113092/,"
261
","
327
",3.6,3.1
tt0116391/,"
30
","
134
",5.9,6.2
tt0116748/,"
31
","
148
",3.6,4.5
tt0118694/,"
17,409
","
66,598
",8.1,8.0
tt0118710/,"
77
","
58
",8.3,4.7
tt0118852/,"
486
","
2,399
",7.1,7.1
tt0119273/,"
2,434
","
3,348
",5.1,5.6
tt0119495/,"
91
","
25
",4.5,5.7
tt0120117/,"
55
","
248
",4.1,4.5
tt0120202/,"
7,184
","
7,339
",6.9,6.6
tt0120263/,"
1,802
","
11,282
",7.5,7.6
tt0120467/,"
1,965
","
1,069
",5.2,5.4
tt0120626/,"
110
","
2,033
",7.2,7.1
tt0120630/,"
32,457
","
82,184
",7.0,7.0
tt0120698/,"
125
","
152
",4.4,4.6
tt0120733/,"
96
","
124
",5.9,5.4
tt0120753/,"
2,802
","
12,521
",5.2,6.0
tt0120755/,"
52,236
","
150,466
",6.0,6.1
tt0120903/,"
98,741
","
248,373
",7.4,7.3
tt0120913/,"
16,216
","
25,627
",6.6,6.6
tt0120917/,"
38,603
","
72,301
",7.4,7.3
tt0122161/,"
112
","
139
",5.0,4.9
tt0122459/,"
8,018
","
5,750
",7.2,6.6
tt0123003/,"
643
","
442
",6.2,6.0
tt0123055/,"
46
","
46
",3.7,3.6
tt0127349/,"
2,288
","
2,726
",6.7,6.4
tt0130623/,"
10,746
","
24,310
",6.3,6.4
tt0131704/,"
6,867
","
6,983
",4.3,4.1
tt0132885/,"
140
","
124
",4.9,4.4
tt0132910/,"
2,877
","
5,124
",5.0,4.9
tt0134084/,"
27,872
","
57,391
",5.7,5.4
tt0134630/,"
2,995
","
3,676
",6.1,6.0
tt0134847/,"
43,703
","
112,255
",7.2,7.0
tt0134983/,"
4,594
","
7,902
",4.8,4.9
tt0135707/,"
121
","
131
",6.4,6.2
tt0138353/,"
369
","
178
",6.5,5.9
tt0138631/,"
18
","
167
",4.1,5.7
tt0138681/,"
387
","
456
",5.9,5.6
tt0138749/,"
15,140
","
37,949
",6.8,6.9
tt0138927/,"
215
","
105
",6.6,6.4
tt0138946/,"
4,085
","
10,700
",6.4,6.4
tt0139388/,"
549
","
843
",5.9,5.5
tt0139500/,"
362
","
783
",6.7,7.3
tt0141399/,"
844
","
877
",5.2,5.4
tt0141926/,"
19,420
","
35,264
",6.7,6.5
tt0142650/,"
110
","
65
",4.8,4.4
tt0143344/,"
75
","
55
",3.6,4.4
tt0144084/,"
86,085
","
230,908
",7.7,7.5
tt0144142/,"
1,319
","
1,489
",5.3,5.0
tt0144528/,"
10,735
","
22,922
",4.5,4.3
tt0144608/,"
174
","
275
",4.6,5.0
tt0144964/,"
4,412
","
9,434
",5.0,4.4
tt0146309/,"
13,491
","
26,116
",7.3,7.3
tt0146882/,"
40,286
","
80,699
",7.6,7.4
tt0146984/,"
15,788
","
22,716
",6.7,6.7
tt0147486/,"
67
","
22
",4.5,2.4
tt0148421/,"
144
","
88
",6.9,6.0
tt0149367/,"
1,474
","
2,757
",6.3,6.3
tt0149624/,"
5,031
","
5,702
",6.0,5.7
tt0151150/,"
648
","
5,040
",5.9,6.0
tt0151309/,"
80
","
17
",5.2,6.6
tt0153464/,"
679
","
1,215
",6.0,6.0
tt0155150/,"
102
","
173
",5.5,5.2
tt0155723/,"
173
","
49
",7.1,6.5
tt0155754/,"
265
","
246
",6.2,6.2
tt0156020/,"
190
","
313
",6.4,5.9
tt0156323/,"
3,972
","
2,681
",5.8,5.6
tt0156741/,"
225
","
242
",5.0,5.1
tt0156757/,"
378
","
1,113
",6.1,6.0
tt0156807/,"
309
","
523
",4.5,4.1
tt0156812/,"
7,168
","
6,895
",7.0,6.9
tt0156841/,"
2,297
","
5,420
",4.3,4.8
tt0156942/,"
69
","
72
",5.4,5.7
tt0157122/,"
610
","
1,797
",7.5,7.4
tt0157262/,"
2,170
","
6,441
",3.0,3.5
tt0157836/,"
456
","
235
",2.8,2.8
tt0158033/,"
432
","
726
",5.9,6.0
tt0158581/,"
20
","
463
",4.9,5.4
tt0158622/,"
4,742
","
10,226
",3.6,3.6
tt0158871/,"
19
","
123
",5.8,5.4
tt0159396/,"
46
","
63
",4.4,3.4
tt0159784/,"
956
","
3,954
",6.2,6.3
tt0160009/,"
6,060
","
14,767
",5.6,5.7
tt0160127/,"
33,553
","
88,965
",5.6,5.5
tt0160182/,"
181
","
133
",4.4,4.0
tt0160256/,"
48
","
104
",4.1,5.8
tt0160289/,"
367
","
648
",5.5,5.6
tt0160403/,"
530
","
446
",6.1,6.0
tt0160434/,"
69
","
95
",4.5,3.9
tt0160447/,"
97
","
71
",5.3,5.0
tt0160484/,"
2,595
","
4,922
",4.8,4.8
tt0160495/,"
312
","
362
",4.6,4.8
tt0160547/,"
118
","
196
",5.2,5.0
