id,us_votes,non_us_votes,us_rating,non_us_rating
tt1706625/,"
238
","
400
",4.9,4.9
tt1707380/,"
636
","
3,413
",5.3,5.5
tt1708135/,"
522
","
5,132
",7.1,7.0
tt1723129/,"
68
","
133
",3.8,2.6
tt1726252/,"
1,099
","
2,988
",7.4,6.1
tt1727770/,"
3,935
","
21,807
",6.0,5.9
tt1727776/,"
7,058
","
21,434
",6.4,6.2
tt1727824/,"
49,408
","
178,250
",7.8,7.9
tt1731701/,"
2,644
","
9,588
",5.5,5.3
tt1732651/,"
51
","
106
",2.8,2.7
tt1734579/,"
26
","
375
",7.2,6.9
tt1735462/,"
1,393
","
1,464
",6.2,4.8
tt1735907/,"
1,004
","
1,876
",5.3,5.1
tt1741273/,"
5,880
","
21,296
",6.3,6.2
tt1754656/,"
5,576
","
26,209
",7.7,7.6
tt1754736/,"
243
","
735
",5.4,5.9
tt1759744/,"
771
","
1,511
",5.9,5.8
tt1764355/,"
383
","
502
",5.9,3.9
tt1772261/,"
483
","
840
",4.4,4.4
tt1772288/,"
3,682
","
16,035
",7.0,7.0
tt1773753/,"
1,150
","
3,075
",5.1,5.1
tt1780790/,"
72
","
62
",3.6,3.7
tt1781922/,"
9,913
","
36,230
",6.8,6.7
tt1784359/,"
65
","
121
",4.2,3.7
tt1798684/,"
21,852
","
94,622
",7.2,7.3
tt1799516/,"
488
","
1,745
",6.2,6.2
tt1801552/,"
2,539
","
5,603
",4.4,4.9
tt1810683/,"
2,587
","
9,561
",7.2,7.3
tt1817771/,"
2,121
","
5,326
",6.2,5.8
tt1823672/,"
24,177
","
109,853
",6.7,6.8
tt1825683/,"
85,220
","
213,525
",7.6,7.0
tt1826956/,"
15
","
108
",4.3,3.4
tt1827429/,"
28
","
65
",3.1,2.7
tt1836869/,"
163
","
141
",6.0,4.3
tt1836953/,"
163
","
108
",4.4,3.8
tt1837562/,"
1,159
","
4,758
",6.6,6.4
tt1837636/,"
1,339
","
5,348
",5.8,5.7
tt1841642/,"
2,188
","
6,669
",5.4,5.2
tt1843303/,"
1,052
","
1,215
",5.0,4.8
tt1846589/,"
6,255
","
26,113
",6.7,6.5
tt1847529/,"
28
","
84
",5.0,5.3
tt1847672/,"
70
","
643
",5.9,5.7
tt1850457/,"
13,069
","
24,751
",6.1,5.8
tt1855977/,"
17
","
86
",5.8,5.6
tt1856057/,"
300
","
676
",6.6,6.5
tt1859606/,"
265
","
190
",8.3,5.9
tt1861445/,"
426
","
853
",6.1,4.8
tt1881002/,"
6,112
","
21,307
",5.8,5.5
tt1883367/,"
2,312
","
6,799
",2.7,2.8
tt1884378/,"
141
","
252
",3.9,3.1
tt1885325/,"
63
","
63
",5.6,3.0
tt1887746/,"
196
","
387
",4.3,3.8
tt1891923/,"
439
","
1,136
",4.7,4.4
tt1895587/,"
49,216
","
179,522
",8.2,8.0
tt1905005/,"
122
","
118
",6.8,4.7
tt1918911/,"
127
","
1,243
",6.5,6.2
tt1922544/,"
125
","
276
",5.7,5.5
tt1929276/,"
485
","
1,061
",5.6,5.4
tt1929433/,"
37
","
174
",4.0,4.4
tt1937340/,"
129
","
103
",6.2,5.5
tt1941478/,"
46
","
1,065
",6.7,6.9
tt1943014/,"
423
","
404
",4.9,4.1
tt1945044/,"
1,126
","
2,501
",4.7,4.4
